song_name,song_artist,track number,country,start date,end date,Analysis
Dance Monkey,Tones And I,1,Israel,2019-11-29,2019-12-06,Neutral
נחכה לך,Nathan Goshen,2,Israel,2019-11-29,2019-12-06,Neutral
ROXANNE,Arizona Zervas,3,Israel,2019-11-29,2019-12-06,Positive
מסע,Eliad,4,Israel,2019-11-29,2019-12-06,Neutral
Señorita,Shawn Mendes,5,Israel,2019-11-29,2019-12-06,Positive
אגרוף,Eden Ben Zaken,6,Israel,2019-11-29,2019-12-06,Neutral
Falling,Trevor Daniel,7,Israel,2019-11-29,2019-12-06,Positive
אלוף העולם,Hanan Ben Ari,8,Israel,2019-11-29,2019-12-06,could not determine analysis
Someone You Loved,Lewis Capaldi,9,Israel,2019-11-29,2019-12-06,Positive
Don't Start Now,Dua Lipa,10,Israel,2019-11-29,2019-12-06,Negative
everything i wanted,Billie Eilish,11,Israel,2019-11-29,2019-12-06,Negative
כתבתי עלייך שיר,Omer Adam,12,Israel,2019-11-29,2019-12-06,Neutral
לשוב הביתה,Ishay Ribo,13,Israel,2019-11-29,2019-12-06,Neutral
הלב שלי,Ishay Ribo,14,Israel,2019-11-29,2019-12-06,Neutral
Memories,Maroon 5,15,Israel,2019-11-29,2019-12-06,Positive
bad guy,Billie Eilish,16,Israel,2019-11-29,2019-12-06,Negative
Circles,Post Malone,17,Israel,2019-11-29,2019-12-06,Positive
ממה את מפחדת,Eyal Golan,18,Israel,2019-11-29,2019-12-06,Neutral
'פאוץ,Noa Kirel,19,Israel,2019-11-29,2019-12-06,Neutral
Heartless,The Weeknd,20,Israel,2019-11-29,2019-12-06,Negative
Lucid Dreams,Juice WRLD,9,Israel,2019-12-06,2019-12-13,Positive
דיבור נגוע,Mergui,18,Israel,2019-12-06,2019-12-13,Negative
אין יותר מועדונים,Eden Hason,20,Israel,2019-12-06,2019-12-13,Neutral
"עב""מ",Tuna,8,Israel,2019-12-13,2019-12-20,Negative
כנפיים,Tuna,13,Israel,2019-12-13,2019-12-20,Positive
אין בינינו חלל,Tuna,16,Israel,2019-12-13,2019-12-20,Positive
Never Go Back,Dennis Lloyd,9,Israel,2019-12-20,2019-12-27,Positive
לקחת את המפתחות,Itay Levi,14,Israel,2019-12-20,2019-12-27,Neutral
