song_name,song_artist,track number,country,start date,end date,Analysis
Safaera,Bad Bunny,1,Spain,2020-04-17,2020-04-24,Negative
Dime Bbsita,Robledo,2,Spain,2020-04-17,2020-04-24,Negative
Amarillo,J Balvin,3,Spain,2020-04-17,2020-04-24,Negative
Tusa,KAROL G,4,Spain,2020-04-17,2020-04-24,Negative
Yo Perreo Sola,Bad Bunny,5,Spain,2020-04-17,2020-04-24,Negative
Mil Tequilas,Chema Rivas,6,Spain,2020-04-17,2020-04-24,Negative
Sola &amp; Vacía,Casper Magico,7,Spain,2020-04-17,2020-04-24,could not determine analysis
4 besos,Lola Indigo,8,Spain,2020-04-17,2020-04-24,Negative
Tattoo,Rauw Alejandro,9,Spain,2020-04-17,2020-04-24,Negative
Rojo,J Balvin,10,Spain,2020-04-17,2020-04-24,Neutral
PORFA,Feid,11,Spain,2020-04-17,2020-04-24,Negative
Una Mala (Remix),El Completo Rd,12,Spain,2020-04-17,2020-04-24,Negative
La Difícil,Bad Bunny,13,Spain,2020-04-17,2020-04-24,Negative
Morado,J Balvin,14,Spain,2020-04-17,2020-04-24,could not determine analysis
Tu Eres Un Bom Bom - Remix,Kafu Banton,15,Spain,2020-04-17,2020-04-24,Negative
Loco,Beéle,16,Spain,2020-04-17,2020-04-24,Positive
Diosa,Myke Towers,17,Spain,2020-04-17,2020-04-24,Negative
Follow,KAROL G,18,Spain,2020-04-17,2020-04-24,Negative
Favorito,Camilo,19,Spain,2020-04-17,2020-04-24,Negative
La Cama - Remix,Lunay,20,Spain,2020-04-17,2020-04-24,Negative
Nunca Estoy,C. Tangana,1,Spain,2020-04-24,2020-05-01,Negative
SICKO MODE,Travis Scott,19,Spain,2020-04-24,2020-05-01,Positive
THE SCOTTS,THE SCOTTS,20,Spain,2020-04-24,2020-05-01,Positive
PAM,Justin Quiles,15,Spain,2020-05-01,2020-05-08,Negative
Se iluminaba,Fred De Palma,19,Spain,2020-05-01,2020-05-08,Negative
PA' ROMPERLA,Bad Bunny,1,Spain,2020-05-08,2020-05-15,Negative
MÁS DE UNA CITA,Bad Bunny,3,Spain,2020-05-08,2020-05-15,Negative
BAD CON NICKY,Bad Bunny,11,Spain,2020-05-08,2020-05-15,Negative
CÓMO SE SIENTE - Remix,Jhay Cortez,13,Spain,2020-05-08,2020-05-15,Negative
BENDICIONES,Bad Bunny,14,Spain,2020-05-08,2020-05-15,Negative
BYE ME FUI,Bad Bunny,15,Spain,2020-05-08,2020-05-15,Positive
CANCIÓN CON YANDEL,Yandel,19,Spain,2020-05-08,2020-05-15,Negative
