song_name,song_artist,track number,country,start date,end date,Analysis
Roller,Apache 207,1,Germany,2019-12-13,2019-12-20,Negative
KEIN SCHLAF,Nimo,2,Germany,2019-12-13,2019-12-20,Negative
COLT,Samra,3,Germany,2019-12-13,2019-12-20,Negative
Dance Monkey,Tones And I,4,Germany,2019-12-13,2019-12-20,Neutral
Der Bratan bleibt der gleiche,Capital Bra,5,Germany,2019-12-13,2019-12-20,Negative
Skifahren (feat. Joshi Mizu),The Cratez,6,Germany,2019-12-13,2019-12-20,Negative
All I Want for Christmas Is You,Mariah Carey,7,Germany,2019-12-13,2019-12-20,Positive
Alien,RIN,8,Germany,2019-12-13,2019-12-20,Negative
Keine Liebe,RIN,9,Germany,2019-12-13,2019-12-20,Negative
200 km/h,Apache 207,10,Germany,2019-12-13,2019-12-20,Negative
Wieso tust Du dir das an?,Apache 207,11,Germany,2019-12-13,2019-12-20,Positive
95 BPM,Samra,12,Germany,2019-12-13,2019-12-20,Negative
Last Christmas,Wham!,13,Germany,2019-12-13,2019-12-20,Positive
110,Capital Bra,14,Germany,2019-12-13,2019-12-20,Negative
Falling,Trevor Daniel,15,Germany,2019-12-13,2019-12-20,Positive
Ayy Macarena,Tyga,16,Germany,2019-12-13,2019-12-20,Negative
Blinding Lights,The Weeknd,17,Germany,2019-12-13,2019-12-20,Negative
Tiffany,Shindy,18,Germany,2019-12-13,2019-12-20,Negative
2002,Sido,19,Germany,2019-12-13,2019-12-20,Negative
KARMA,Nimo,20,Germany,2019-12-13,2019-12-20,Negative
