song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Colombia,2020-01-17,2020-01-24,Negative
Sigues Con El,Dímelo Flow,2,Colombia,2020-01-17,2020-01-24,could not determine analysis
Morado,J Balvin,3,Colombia,2020-01-17,2020-01-24,Negative
Dance Monkey,Tones And I,4,Colombia,2020-01-17,2020-01-24,Neutral
Fantasias,Rauw Alejandro,5,Colombia,2020-01-17,2020-01-24,Negative
Hola - Remix,Dalex,6,Colombia,2020-01-17,2020-01-24,Negative
Blanco,J Balvin,7,Colombia,2020-01-17,2020-01-24,Negative
Vete,Bad Bunny,8,Colombia,2020-01-17,2020-01-24,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,9,Colombia,2020-01-17,2020-01-24,Positive
China,Anuel AA,10,Colombia,2020-01-17,2020-01-24,Negative
LA CANCIÓN,J Balvin,11,Colombia,2020-01-17,2020-01-24,Negative
Me Gusta,Shakira,12,Colombia,2020-01-17,2020-01-24,Negative
Quizas,Rich Music LTD,13,Colombia,2020-01-17,2020-01-24,Positive
Adicto (with Anuel AA &amp; Ozuna),Tainy,14,Colombia,2020-01-17,2020-01-24,could not determine analysis
No Me Conoce - Remix,Jhay Cortez,15,Colombia,2020-01-17,2020-01-24,Negative
Loco,Beéle,16,Colombia,2020-01-17,2020-01-24,Positive
Whine Up,Nicky Jam,17,Colombia,2020-01-17,2020-01-24,Negative
Infeliz,Arcangel,18,Colombia,2020-01-17,2020-01-24,Negative
Callaita,Bad Bunny,19,Colombia,2020-01-17,2020-01-24,Negative
Bellaquita - Remix,Dalex,20,Colombia,2020-01-17,2020-01-24,Negative
