song_name,song_artist,track number,country,start date,end date,Analysis
Dance Monkey,Tones And I,1,Israel,2020-03-20,2020-03-27,Neutral
Blinding Lights,The Weeknd,2,Israel,2020-03-20,2020-03-27,Negative
The Box,Roddy Ricch,3,Israel,2020-03-20,2020-03-27,Negative
את חסרה לי,Eden Hason,4,Israel,2020-03-20,2020-03-27,Neutral
Don't Start Now,Dua Lipa,5,Israel,2020-03-20,2020-03-27,Negative
Godzilla (feat. Juice WRLD),Eminem,6,Israel,2020-03-20,2020-03-27,Neutral
אלוף העולם,Hanan Ben Ari,7,Israel,2020-03-20,2020-03-27,could not determine analysis
נחכה לך,Nathan Goshen,8,Israel,2020-03-20,2020-03-27,Neutral
Roses - Imanbek Remix,SAINt JHN,9,Israel,2020-03-20,2020-03-27,Negative
מסע,Eliad,10,Israel,2020-03-20,2020-03-27,Neutral
אם תרצי,Hanan Ben Ari,11,Israel,2020-03-20,2020-03-27,Neutral
Falling,Trevor Daniel,12,Israel,2020-03-20,2020-03-27,Positive
Señorita,Shawn Mendes,13,Israel,2020-03-20,2020-03-27,Positive
לשוב הביתה,Ishay Ribo,14,Israel,2020-03-20,2020-03-27,Neutral
ROXANNE,Arizona Zervas,15,Israel,2020-03-20,2020-03-27,Positive
עברו חודשיים,Agam Buhbut,16,Israel,2020-03-20,2020-03-27,Neutral
הולכת יחפה,Itay Levi,17,Israel,2020-03-20,2020-03-27,Neutral
Someone You Loved,Lewis Capaldi,18,Israel,2020-03-20,2020-03-27,Positive
Feker Libi,Eden,19,Israel,2020-03-20,2020-03-27,Positive
bad guy,Billie Eilish,20,Israel,2020-03-20,2020-03-27,Negative
Break My Heart,Dua Lipa,12,Israel,2020-03-27,2020-04-03,Positive
Blueberry Faygo,Lil Mosey,15,Israel,2020-03-27,2020-04-03,Negative
Physical,Dua Lipa,18,Israel,2020-03-27,2020-04-03,Positive
Toosie Slide,Drake,1,Israel,2020-04-03,2020-04-10,Positive
death bed (coffee for your head) (feat. beabadoobee),Powfu,16,Israel,2020-04-03,2020-04-10,Positive
הלב שלי,Ishay Ribo,20,Israel,2020-04-03,2020-04-10,Neutral
Say So,Doja Cat,18,Israel,2020-04-10,2020-04-17,Positive
