song_name,song_artist,track number,country,start date,end date,Analysis
Safaera,Bad Bunny,1,Argentina,2020-03-27,2020-04-03,Negative
Tusa,KAROL G,2,Argentina,2020-03-27,2020-04-03,Negative
Tattoo,Rauw Alejandro,3,Argentina,2020-03-27,2020-04-03,Negative
Rojo,J Balvin,4,Argentina,2020-03-27,2020-04-03,Neutral
Yo Perreo Sola,Bad Bunny,5,Argentina,2020-03-27,2020-04-03,Negative
Sigues Con El,Dímelo Flow,6,Argentina,2020-03-27,2020-04-03,Negative
Hola - Remix,Dalex,7,Argentina,2020-03-27,2020-04-03,Negative
La Difícil,Bad Bunny,8,Argentina,2020-03-27,2020-04-03,Negative
Dance Monkey,Tones And I,9,Argentina,2020-03-27,2020-04-03,Neutral
Diosa,Myke Towers,10,Argentina,2020-03-27,2020-04-03,Negative
Morado,J Balvin,11,Argentina,2020-03-27,2020-04-03,Negative
Don't Start Now,Dua Lipa,12,Argentina,2020-03-27,2020-04-03,Negative
Ignorantes,Bad Bunny,13,Argentina,2020-03-27,2020-04-03,Negative
Amarillo,J Balvin,14,Argentina,2020-03-27,2020-04-03,Negative
Fantasias,Rauw Alejandro,15,Argentina,2020-03-27,2020-04-03,Negative
Muévelo,Nicky Jam,16,Argentina,2020-03-27,2020-04-03,Positive
Recuerdo,TINI,17,Argentina,2020-03-27,2020-04-03,Negative
Vete,Bad Bunny,18,Argentina,2020-03-27,2020-04-03,Negative
Par-Tusa,El Dipy,19,Argentina,2020-03-27,2020-04-03,Negative
Dónde Estás,KHEA,20,Argentina,2020-03-27,2020-04-03,Positive
