song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Spain,2020-01-03,2020-01-10,Negative
Alocao (With Bad Gyal),Omar Montes,2,Spain,2020-01-03,2020-01-10,Positive
Dance Monkey,Tones And I,3,Spain,2020-01-03,2020-01-10,Neutral
+,Aitana,4,Spain,2020-01-03,2020-01-10,could not determine analysis
Zorra,Bad Gyal,5,Spain,2020-01-03,2020-01-10,Negative
Vete,Bad Bunny,6,Spain,2020-01-03,2020-01-10,Negative
Indeciso,Reik,7,Spain,2020-01-03,2020-01-10,Negative
China,Anuel AA,8,Spain,2020-01-03,2020-01-10,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,9,Spain,2020-01-03,2020-01-10,Positive
Whine Up,Nicky Jam,10,Spain,2020-01-03,2020-01-10,Negative
Blanco,J Balvin,11,Spain,2020-01-03,2020-01-10,Negative
Hola - Remix,Dalex,12,Spain,2020-01-03,2020-01-10,Negative
Si por mi fuera,Beret,13,Spain,2020-01-03,2020-01-10,Negative
Aventura,Lunay,14,Spain,2020-01-03,2020-01-10,Negative
Easy - Remix,Jhay Cortez,15,Spain,2020-01-03,2020-01-10,Positive
Fantasias,Rauw Alejandro,16,Spain,2020-01-03,2020-01-10,Negative
Se iluminaba,Fred De Palma,17,Spain,2020-01-03,2020-01-10,Negative
Rueda,Chimbala,18,Spain,2020-01-03,2020-01-10,Negative
Sigues Con El,Dímelo Flow,19,Spain,2020-01-03,2020-01-10,Negative
Adicto (with Anuel AA &amp; Ozuna),Tainy,20,Spain,2020-01-03,2020-01-10,could not determine analysis
