song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Guatemala,2019-12-27,2020-01-03,Negative
Vete,Bad Bunny,2,Guatemala,2019-12-27,2020-01-03,Negative
Fantasias,Rauw Alejandro,3,Guatemala,2019-12-27,2020-01-03,Negative
LA CANCIÓN,J Balvin,4,Guatemala,2019-12-27,2020-01-03,Negative
Dance Monkey,Tones And I,5,Guatemala,2019-12-27,2020-01-03,Neutral
RITMO (Bad Boys For Life),Black Eyed Peas,6,Guatemala,2019-12-27,2020-01-03,Positive
China,Anuel AA,7,Guatemala,2019-12-27,2020-01-03,Negative
No Me Conoce - Remix,Jhay Cortez,8,Guatemala,2019-12-27,2020-01-03,Negative
Pa' Olvidarme De Ella,Piso 21,9,Guatemala,2019-12-27,2020-01-03,Negative
Sigues Con El,Dímelo Flow,10,Guatemala,2019-12-27,2020-01-03,Negative
Callaita,Bad Bunny,11,Guatemala,2019-12-27,2020-01-03,Negative
Adicto (with Anuel AA &amp; Ozuna),Tainy,12,Guatemala,2019-12-27,2020-01-03,could not determine analysis
Que Tire Pa Lante,Daddy Yankee,13,Guatemala,2019-12-27,2020-01-03,Negative
Whine Up,Nicky Jam,14,Guatemala,2019-12-27,2020-01-03,Negative
Si Te Vas,Sech,15,Guatemala,2019-12-27,2020-01-03,Positive
Soltera - Remix,Lunay,16,Guatemala,2019-12-27,2020-01-03,Negative
Tutu,Camilo,17,Guatemala,2019-12-27,2020-01-03,Negative
Amor A Primera Vista,Los Angeles Azules,18,Guatemala,2019-12-27,2020-01-03,could not determine analysis
Quizas,Rich Music LTD,19,Guatemala,2019-12-27,2020-01-03,Positive
Hola - Remix,Dalex,20,Guatemala,2019-12-27,2020-01-03,Negative
Yummy,Justin Bieber,17,Guatemala,2020-01-03,2020-01-10,Positive
Infeliz,Arcangel,16,Guatemala,2020-01-10,2020-01-17,Negative
Muévelo,Nicky Jam,17,Guatemala,2020-01-10,2020-01-17,Positive
Morado,J Balvin,20,Guatemala,2020-01-10,2020-01-17,Negative
Me Gusta,Shakira,18,Guatemala,2020-01-17,2020-01-24,Negative
