song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Argentina,2019-12-13,2019-12-20,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,2,Argentina,2019-12-13,2019-12-20,could not determine analysis
Fantasias,Rauw Alejandro,3,Argentina,2019-12-13,2019-12-20,Negative
Hola - Remix,Dalex,4,Argentina,2019-12-13,2019-12-20,Negative
Que Tire Pa Lante,Daddy Yankee,5,Argentina,2019-12-13,2019-12-20,Negative
China,Anuel AA,6,Argentina,2019-12-13,2019-12-20,Negative
Fresa,TINI,7,Argentina,2019-12-13,2019-12-20,Negative
Vete,Bad Bunny,8,Argentina,2019-12-13,2019-12-20,Negative
Bellaquita - Remix,Dalex,9,Argentina,2019-12-13,2019-12-20,Negative
Dance Monkey,Tones And I,10,Argentina,2019-12-13,2019-12-20,Neutral
Adicto (with Anuel AA &amp; Ozuna),Tainy,11,Argentina,2019-12-13,2019-12-20,could not determine analysis
Quizas,Rich Music LTD,12,Argentina,2019-12-13,2019-12-20,Positive
Perreo en La Luna,Rich Music LTD,13,Argentina,2019-12-13,2019-12-20,Negative
Goteo,Duki,14,Argentina,2019-12-13,2019-12-20,Negative
Tutu,Camilo,15,Argentina,2019-12-13,2019-12-20,Negative
Si Te Vas,Sech,16,Argentina,2019-12-13,2019-12-20,Positive
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,17,Argentina,2019-12-13,2019-12-20,Negative
Ya No Mas,Fer Palacio,18,Argentina,2019-12-13,2019-12-20,Negative
Aventura,Lunay,19,Argentina,2019-12-13,2019-12-20,Negative
Whine Up,Nicky Jam,20,Argentina,2019-12-13,2019-12-20,Negative
