song_name,song_artist,track number,country,start date,end date,Analysis
Matrix,Apache 207,1,Germany,2020-02-28,2020-03-06,Negative
100k Cash,Capital Bra,2,Germany,2020-02-28,2020-03-06,Positive
Blinding Lights,The Weeknd,3,Germany,2020-02-28,2020-03-06,Negative
D A YYY T O N A,Dardan,4,Germany,2020-02-28,2020-03-06,Negative
Baby,Joker Bra,5,Germany,2020-02-28,2020-03-06,Negative
Mios mit Bars,Luciano,6,Germany,2020-02-28,2020-03-06,Negative
Lass los,Dhurata Dora,7,Germany,2020-02-28,2020-03-06,Negative
Roller,Apache 207,8,Germany,2020-02-28,2020-03-06,Negative
Rich Rich,Ufo361,9,Germany,2020-02-28,2020-03-06,could not determine analysis
Breaking Me,Topic,10,Germany,2020-02-28,2020-03-06,Positive
Karakol,Capo,11,Germany,2020-02-28,2020-03-06,Negative
Kein Wort,Juju,12,Germany,2020-02-28,2020-03-06,Positive
Weiss,Samra,13,Germany,2020-02-28,2020-03-06,Positive
Schüsse im Regen,Samra,14,Germany,2020-02-28,2020-03-06,Negative
Dance Monkey,Tones And I,15,Germany,2020-02-28,2020-03-06,Neutral
The Box,Roddy Ricch,16,Germany,2020-02-28,2020-03-06,Negative
Roses - Imanbek Remix,SAINt JHN,17,Germany,2020-02-28,2020-03-06,Negative
Auf Wiedersehen,Mozzik,18,Germany,2020-02-28,2020-03-06,Negative
Schlafen,Ufo361,19,Germany,2020-02-28,2020-03-06,Negative
In Your Eyes (feat. Alida),Robin Schulz,20,Germany,2020-02-28,2020-03-06,Negative
