song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Spain,2020-02-07,2020-02-14,Negative
Keii,Anuel AA,2,Spain,2020-02-07,2020-02-14,Positive
Morado,J Balvin,3,Spain,2020-02-07,2020-02-14,Negative
Me Gusta,Shakira,4,Spain,2020-02-07,2020-02-14,Negative
Medusa,Jhay Cortez,5,Spain,2020-02-07,2020-02-14,Negative
Alocao (With Bad Gyal),Omar Montes,6,Spain,2020-02-07,2020-02-14,Positive
Dance Monkey,Tones And I,7,Spain,2020-02-07,2020-02-14,Neutral
Se iluminaba,Fred De Palma,8,Spain,2020-02-07,2020-02-14,Negative
Hola - Remix,Dalex,9,Spain,2020-02-07,2020-02-14,Negative
+,Aitana,10,Spain,2020-02-07,2020-02-14,Negative
Diosa,Myke Towers,11,Spain,2020-02-07,2020-02-14,Negative
Muévelo,Nicky Jam,12,Spain,2020-02-07,2020-02-14,Positive
Indeciso,Reik,13,Spain,2020-02-07,2020-02-14,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,14,Spain,2020-02-07,2020-02-14,Positive
Prendio (Remix),Rvfv,15,Spain,2020-02-07,2020-02-14,could not determine analysis
Blanco,J Balvin,16,Spain,2020-02-07,2020-02-14,Negative
Sigues Con El,Dímelo Flow,17,Spain,2020-02-07,2020-02-14,Negative
Vete,Bad Bunny,18,Spain,2020-02-07,2020-02-14,Negative
Whine Up,Nicky Jam,19,Spain,2020-02-07,2020-02-14,Negative
Zorra,Bad Gyal,20,Spain,2020-02-07,2020-02-14,could not determine analysis
