song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Colombia,2020-02-07,2020-02-14,Negative
Sigues Con El,Dímelo Flow,2,Colombia,2020-02-07,2020-02-14,Negative
Dance Monkey,Tones And I,3,Colombia,2020-02-07,2020-02-14,Neutral
Morado,J Balvin,4,Colombia,2020-02-07,2020-02-14,Negative
Hola - Remix,Dalex,5,Colombia,2020-02-07,2020-02-14,Negative
Fantasias,Rauw Alejandro,6,Colombia,2020-02-07,2020-02-14,Negative
Vete,Bad Bunny,7,Colombia,2020-02-07,2020-02-14,Negative
Girl,Myke Towers,8,Colombia,2020-02-07,2020-02-14,Negative
Blanco,J Balvin,9,Colombia,2020-02-07,2020-02-14,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,10,Colombia,2020-02-07,2020-02-14,Positive
Keii,Anuel AA,11,Colombia,2020-02-07,2020-02-14,Positive
LA CANCIÓN,J Balvin,12,Colombia,2020-02-07,2020-02-14,Negative
Quizas,Rich Music LTD,13,Colombia,2020-02-07,2020-02-14,Positive
China,Anuel AA,14,Colombia,2020-02-07,2020-02-14,Negative
Bellaquita - Remix,Dalex,15,Colombia,2020-02-07,2020-02-14,Negative
No Me Conoce - Remix,Jhay Cortez,16,Colombia,2020-02-07,2020-02-14,Negative
Medusa,Jhay Cortez,17,Colombia,2020-02-07,2020-02-14,Negative
Adicto (with Anuel AA &amp; Ozuna),Tainy,18,Colombia,2020-02-07,2020-02-14,could not determine analysis
Me Gusta,Shakira,19,Colombia,2020-02-07,2020-02-14,Negative
Loco,Beéle,20,Colombia,2020-02-07,2020-02-14,Positive
