song_name,song_artist,track number,country,start date,end date,Analysis
Angst,Loredana,1,Germany,2020-03-06,2020-03-13,Negative
Sip,Luciano,2,Germany,2020-03-06,2020-03-13,Negative
Matrix,Apache 207,3,Germany,2020-03-06,2020-03-13,Negative
Blinding Lights,The Weeknd,4,Germany,2020-03-06,2020-03-13,Negative
6 Uhr,Samra,5,Germany,2020-03-06,2020-03-13,Negative
100k Cash,Capital Bra,6,Germany,2020-03-06,2020-03-13,Positive
D A YYY T O N A,Dardan,7,Germany,2020-03-06,2020-03-13,Negative
Roller,Apache 207,8,Germany,2020-03-06,2020-03-13,Negative
Baby,Joker Bra,9,Germany,2020-03-06,2020-03-13,Negative
Breaking Me,Topic,10,Germany,2020-03-06,2020-03-13,Positive
Dance Monkey,Tones And I,11,Germany,2020-03-06,2020-03-13,Neutral
The Box,Roddy Ricch,12,Germany,2020-03-06,2020-03-13,Negative
Kein Wort,Juju,13,Germany,2020-03-06,2020-03-13,Positive
Mios mit Bars,Luciano,14,Germany,2020-03-06,2020-03-13,Negative
U23,Mert,15,Germany,2020-03-06,2020-03-13,Negative
Roses - Imanbek Remix,SAINt JHN,16,Germany,2020-03-06,2020-03-13,Negative
Lass los,Dhurata Dora,17,Germany,2020-03-06,2020-03-13,Negative
Rich Rich,Ufo361,18,Germany,2020-03-06,2020-03-13,Negative
Weiss,Samra,19,Germany,2020-03-06,2020-03-13,Positive
In Your Eyes (feat. Alida),Robin Schulz,20,Germany,2020-03-06,2020-03-13,Negative
