song_name,song_artist,track number,country,start date,end date,Analysis
Intentions (feat. Quavo),Justin Bieber,1,China,2020-02-21,2020-02-28,Positive
No Time To Die,Billie Eilish,2,China,2020-02-21,2020-02-28,Negative
ON,BTS,3,China,2020-02-21,2020-02-28,Negative
Señorita,Shawn Mendes,4,China,2020-02-21,2020-02-28,Positive
Dance Monkey,Tones And I,5,China,2020-02-21,2020-02-28,Neutral
Don't Start Now,Dua Lipa,6,China,2020-02-21,2020-02-28,Negative
everything i wanted,Billie Eilish,7,China,2020-02-21,2020-02-28,Negative
Memories,Maroon 5,8,China,2020-02-21,2020-02-28,Positive
Blinding Lights,The Weeknd,9,China,2020-02-21,2020-02-28,Negative
After Hours,The Weeknd,10,China,2020-02-21,2020-02-28,Negative
bad guy,Billie Eilish,11,China,2020-02-21,2020-02-28,Negative
Forever (feat. Post Malone &amp; Clever),Justin Bieber,12,China,2020-02-21,2020-02-28,could not determine analysis
The Box,Roddy Ricch,13,China,2020-02-21,2020-02-28,Negative
Yummy,Justin Bieber,14,China,2020-02-21,2020-02-28,Positive
00:00 (Zero O’Clock),BTS,15,China,2020-02-21,2020-02-28,Positive
Filter,BTS,16,China,2020-02-21,2020-02-28,Positive
Circles,Post Malone,17,China,2020-02-21,2020-02-28,Positive
Black Swan,BTS,18,China,2020-02-21,2020-02-28,Positive
Friends,BTS,19,China,2020-02-21,2020-02-28,Positive
Say So,Doja Cat,20,China,2020-02-21,2020-02-28,Positive
Stupid Love,Lady Gaga,6,China,2020-02-28,2020-03-06,Positive
說好不哭,Jay Chou,15,China,2020-02-28,2020-03-06,Neutral
ROXANNE,Arizona Zervas,17,China,2020-02-28,2020-03-06,Positive
Falling,Trevor Daniel,20,China,2020-02-28,2020-03-06,Positive
WANNABE,ITZY,8,China,2020-03-06,2020-03-13,could not determine analysis
Modern Loneliness,Lauv,13,China,2020-03-06,2020-03-13,Positive
"想見你想見你想見你(電視劇""想見你""片尾曲)",831,17,China,2020-03-06,2020-03-13,could not determine analysis
Someone You Loved,Lewis Capaldi,20,China,2020-03-06,2020-03-13,Positive
death bed (coffee for your head) (feat. beabadoobee),Powfu,15,China,2020-03-13,2020-03-20,Positive
Godzilla (feat. Juice WRLD),Eminem,19,China,2020-03-13,2020-03-20,Neutral
Blueberry Faygo,Lil Mosey,20,China,2020-03-13,2020-03-20,Negative
