song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Spain,2020-03-06,2020-03-13,could not determine analysis
La Difícil,Bad Bunny,2,Spain,2020-03-06,2020-03-13,Negative
Tattoo,Rauw Alejandro,3,Spain,2020-03-06,2020-03-13,Negative
Rojo,J Balvin,4,Spain,2020-03-06,2020-03-13,Neutral
Diosa,Myke Towers,5,Spain,2020-03-06,2020-03-13,Negative
Ignorantes,Bad Bunny,6,Spain,2020-03-06,2020-03-13,Negative
Morado,J Balvin,7,Spain,2020-03-06,2020-03-13,Negative
Keii,Anuel AA,8,Spain,2020-03-06,2020-03-13,Positive
La Santa,Bad Bunny,9,Spain,2020-03-06,2020-03-13,Negative
Medusa,Jhay Cortez,10,Spain,2020-03-06,2020-03-13,Negative
Si Veo a Tu Mamá,Bad Bunny,11,Spain,2020-03-06,2020-03-13,Negative
Se iluminaba,Fred De Palma,12,Spain,2020-03-06,2020-03-13,Negative
Me Gusta,Shakira,13,Spain,2020-03-06,2020-03-13,Negative
Safaera,Bad Bunny,14,Spain,2020-03-06,2020-03-13,Negative
Vete,Bad Bunny,15,Spain,2020-03-06,2020-03-13,Negative
Prendio (Remix),Rvfv,16,Spain,2020-03-06,2020-03-13,could not determine analysis
Dance Monkey,Tones And I,17,Spain,2020-03-06,2020-03-13,Neutral
Pegamos Tela,Lérica,18,Spain,2020-03-06,2020-03-13,Negative
Muévelo,Nicky Jam,19,Spain,2020-03-06,2020-03-13,Positive
Hola - Remix,Dalex,20,Spain,2020-03-06,2020-03-13,Negative
