song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Panama,2020-01-24,2020-01-31,Negative
Sigues Con El,Dímelo Flow,2,Panama,2020-01-24,2020-01-31,Negative
Vete,Bad Bunny,3,Panama,2020-01-24,2020-01-31,Negative
Hola - Remix,Dalex,4,Panama,2020-01-24,2020-01-31,Negative
Fantasias,Rauw Alejandro,5,Panama,2020-01-24,2020-01-31,Negative
Girl,Myke Towers,6,Panama,2020-01-24,2020-01-31,Negative
Dance Monkey,Tones And I,7,Panama,2020-01-24,2020-01-31,Neutral
Si Te Vas,Sech,8,Panama,2020-01-24,2020-01-31,Positive
RITMO (Bad Boys For Life),Black Eyed Peas,9,Panama,2020-01-24,2020-01-31,Positive
Bellaquita - Remix,Dalex,10,Panama,2020-01-24,2020-01-31,Negative
Whine Up,Nicky Jam,11,Panama,2020-01-24,2020-01-31,Negative
China,Anuel AA,12,Panama,2020-01-24,2020-01-31,Negative
Infeliz,Arcangel,13,Panama,2020-01-24,2020-01-31,Negative
Adicto (with Anuel AA &amp; Ozuna),Tainy,14,Panama,2020-01-24,2020-01-31,could not determine analysis
Me Gusta,Shakira,15,Panama,2020-01-24,2020-01-31,Negative
LA CANCIÓN,J Balvin,16,Panama,2020-01-24,2020-01-31,Negative
Quizas,Rich Music LTD,17,Panama,2020-01-24,2020-01-31,Positive
Yummy,Justin Bieber,18,Panama,2020-01-24,2020-01-31,Positive
Morado,J Balvin,19,Panama,2020-01-24,2020-01-31,Negative
No Me Conoce - Remix,Jhay Cortez,20,Panama,2020-01-24,2020-01-31,Negative
Definitivamente,Daddy Yankee,2,Panama,2020-01-31,2020-02-07,Negative
Muévelo,Nicky Jam,19,Panama,2020-01-31,2020-02-07,Positive
Keii,Anuel AA,4,Panama,2020-02-07,2020-02-14,Positive
Mejor,Dalex,9,Panama,2020-02-07,2020-02-14,Positive
Medusa,Jhay Cortez,11,Panama,2020-02-07,2020-02-14,Negative
Diosa,Myke Towers,16,Panama,2020-02-07,2020-02-14,Negative
Caen &amp; Caen,Chamaco,20,Panama,2020-02-07,2020-02-14,could not determine analysis
Ignorantes,Bad Bunny,1,Panama,2020-02-14,2020-02-21,Negative
Party En Mi Casa,Boza,5,Panama,2020-02-14,2020-02-21,Positive
Coronao Now (Remix),El Alfa,15,Panama,2020-02-14,2020-02-21,Negative
Sonrisas Tristes,Boza,20,Panama,2020-02-14,2020-02-21,Negative
