song_name,song_artist,track number,country,start date,end date,Analysis
Favorito,Camilo,1,Guatemala,2020-04-17,2020-04-24,Negative
Rojo,J Balvin,2,Guatemala,2020-04-17,2020-04-24,Neutral
Yo Perreo Sola,Bad Bunny,3,Guatemala,2020-04-17,2020-04-24,Negative
Safaera,Bad Bunny,4,Guatemala,2020-04-17,2020-04-24,Negative
Tattoo,Rauw Alejandro,5,Guatemala,2020-04-17,2020-04-24,Negative
Si Veo a Tu Mamá,Bad Bunny,6,Guatemala,2020-04-17,2020-04-24,Negative
Ignorantes,Bad Bunny,7,Guatemala,2020-04-17,2020-04-24,Negative
Sigues Con El,Dímelo Flow,8,Guatemala,2020-04-17,2020-04-24,Negative
Blinding Lights,The Weeknd,9,Guatemala,2020-04-17,2020-04-24,Negative
Tusa,KAROL G,10,Guatemala,2020-04-17,2020-04-24,Negative
La Difícil,Bad Bunny,11,Guatemala,2020-04-17,2020-04-24,Negative
Vete,Bad Bunny,12,Guatemala,2020-04-17,2020-04-24,Negative
Fantasias,Rauw Alejandro,13,Guatemala,2020-04-17,2020-04-24,Negative
Hola - Remix,Dalex,14,Guatemala,2020-04-17,2020-04-24,Negative
Diosa,Myke Towers,15,Guatemala,2020-04-17,2020-04-24,Negative
Jangueo,Alex Rose,16,Guatemala,2020-04-17,2020-04-24,Negative
Por Primera Vez,Camilo,17,Guatemala,2020-04-17,2020-04-24,Positive
Morado,J Balvin,18,Guatemala,2020-04-17,2020-04-24,Negative
Pa' Olvidarme De Ella,Piso 21,19,Guatemala,2020-04-17,2020-04-24,Negative
Sigues Con El - Remix,Arcangel,20,Guatemala,2020-04-17,2020-04-24,Negative
LA CANCIÓN,J Balvin,20,Guatemala,2020-04-24,2020-05-01,Negative
Qué Maldición,Banda MS de Sergio Lizárraga,1,Guatemala,2020-05-01,2020-05-08,Positive
Hongos,Ricardo Arjona,18,Guatemala,2020-05-01,2020-05-08,Negative
BYE ME FUI,Bad Bunny,2,Guatemala,2020-05-08,2020-05-15,Positive
CANCIÓN CON YANDEL,Yandel,4,Guatemala,2020-05-08,2020-05-15,Negative
PA' ROMPERLA,Bad Bunny,9,Guatemala,2020-05-08,2020-05-15,Negative
MÁS DE UNA CITA,Bad Bunny,10,Guatemala,2020-05-08,2020-05-15,Negative
CÓMO SE SIENTE - Remix,Jhay Cortez,12,Guatemala,2020-05-08,2020-05-15,Negative
BAD CON NICKY,Bad Bunny,14,Guatemala,2020-05-08,2020-05-15,Negative
