song_name,song_artist,track number,country,start date,end date,Analysis
Safaera,Bad Bunny,1,Spain,2020-03-27,2020-04-03,Negative
Amarillo,J Balvin,2,Spain,2020-03-27,2020-04-03,Negative
Tusa,KAROL G,3,Spain,2020-03-27,2020-04-03,Negative
Rojo,J Balvin,4,Spain,2020-03-27,2020-04-03,Neutral
La Difícil,Bad Bunny,5,Spain,2020-03-27,2020-04-03,Negative
Yo Perreo Sola,Bad Bunny,6,Spain,2020-03-27,2020-04-03,Negative
Tattoo,Rauw Alejandro,7,Spain,2020-03-27,2020-04-03,Negative
Morado,J Balvin,8,Spain,2020-03-27,2020-04-03,Negative
4 besos,Lola Indigo,9,Spain,2020-03-27,2020-04-03,Negative
Diosa,Myke Towers,10,Spain,2020-03-27,2020-04-03,Negative
Una Mala (Remix),El Completo Rd,11,Spain,2020-03-27,2020-04-03,could not determine analysis
Keii,Anuel AA,12,Spain,2020-03-27,2020-04-03,Positive
Gris,J Balvin,13,Spain,2020-03-27,2020-04-03,Negative
Ignorantes,Bad Bunny,14,Spain,2020-03-27,2020-04-03,Negative
Medusa,Jhay Cortez,15,Spain,2020-03-27,2020-04-03,Negative
Se iluminaba,Fred De Palma,16,Spain,2020-03-27,2020-04-03,Negative
Azul,J Balvin,17,Spain,2020-03-27,2020-04-03,Negative
Si Veo a Tu Mamá,Bad Bunny,18,Spain,2020-03-27,2020-04-03,Negative
Dolerme,ROSALÍA,19,Spain,2020-03-27,2020-04-03,Negative
Don't Start Now,Dua Lipa,20,Spain,2020-03-27,2020-04-03,Negative
