song_name,song_artist,track number,country,start date,end date,Analysis
Pretender,Official HIGE DANdism,1,Japan,2019-11-29,2019-12-06,Neutral
Hakujitsu,King Gnu,2,Japan,2019-11-29,2019-12-06,Neutral
宿命,Official HIGE DANdism,3,Japan,2019-11-29,2019-12-06,Neutral
イエスタデイ,Official HIGE DANdism,4,Japan,2019-11-29,2019-12-06,could not determine analysis
ノーダウト,Official HIGE DANdism,5,Japan,2019-11-29,2019-12-06,could not determine analysis
マリーゴールド,Aimyon,6,Japan,2019-11-29,2019-12-06,could not determine analysis
115万キロのフィルム,Official HIGE DANdism,7,Japan,2019-11-29,2019-12-06,could not determine analysis
Machigaisagashi,Masaki Suda,8,Japan,2019-11-29,2019-12-06,Neutral
クリスマスソング,back number,9,Japan,2019-11-29,2019-12-06,could not determine analysis
高嶺の花子さん,back number,10,Japan,2019-11-29,2019-12-06,Neutral
Umbrella,King Gnu,11,Japan,2019-11-29,2019-12-06,Neutral
Stand By You,Official HIGE DANdism,12,Japan,2019-11-29,2019-12-06,Positive
Hikoutei,King Gnu,13,Japan,2019-11-29,2019-12-06,Neutral
君はロックを聴かない,Aimyon,14,Japan,2019-11-29,2019-12-06,could not determine analysis
Sayonara Elegy,Masaki Suda,15,Japan,2019-11-29,2019-12-06,could not determine analysis
今夜このまま,Aimyon,16,Japan,2019-11-29,2019-12-06,could not determine analysis
HANABI,Mr.Children,17,Japan,2019-11-29,2019-12-06,Neutral
ただ君に晴れ,ヨルシカ,18,Japan,2019-11-29,2019-12-06,could not determine analysis
ハルノヒ,Aimyon,19,Japan,2019-11-29,2019-12-06,could not determine analysis
ハッピーエンド,back number,20,Japan,2019-11-29,2019-12-06,Neutral
青と夏,Mrs. GREEN APPLE,20,Japan,2019-12-06,2019-12-13,Neutral
Gurenge,LiSA,14,Japan,2019-12-13,2019-12-20,Negative
Teenager Forever,King Gnu,10,Japan,2019-12-20,2019-12-27,Neutral
All I Want for Christmas Is You,Mariah Carey,11,Japan,2019-12-20,2019-12-27,Positive
