song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Colombia,2020-02-21,2020-02-28,Negative
Ignorantes,Bad Bunny,2,Colombia,2020-02-21,2020-02-28,Negative
Sigues Con El,Dímelo Flow,3,Colombia,2020-02-21,2020-02-28,Negative
Hola - Remix,Dalex,4,Colombia,2020-02-21,2020-02-28,Negative
Morado,J Balvin,5,Colombia,2020-02-21,2020-02-28,could not determine analysis
Dance Monkey,Tones And I,6,Colombia,2020-02-21,2020-02-28,Neutral
BORRAXXA,Feid,7,Colombia,2020-02-21,2020-02-28,Negative
Fantasias,Rauw Alejandro,8,Colombia,2020-02-21,2020-02-28,Negative
Girl,Myke Towers,9,Colombia,2020-02-21,2020-02-28,Negative
Vete,Bad Bunny,10,Colombia,2020-02-21,2020-02-28,Negative
Blanco,J Balvin,11,Colombia,2020-02-21,2020-02-28,Negative
Keii,Anuel AA,12,Colombia,2020-02-21,2020-02-28,Positive
RITMO (Bad Boys For Life),Black Eyed Peas,13,Colombia,2020-02-21,2020-02-28,Positive
Medusa,Jhay Cortez,14,Colombia,2020-02-21,2020-02-28,Negative
LA CANCIÓN,J Balvin,15,Colombia,2020-02-21,2020-02-28,Negative
Quizas,Rich Music LTD,16,Colombia,2020-02-21,2020-02-28,Positive
No Me Conoce - Remix,Jhay Cortez,17,Colombia,2020-02-21,2020-02-28,Negative
Bellaquita - Remix,Dalex,18,Colombia,2020-02-21,2020-02-28,Negative
China,Anuel AA,19,Colombia,2020-02-21,2020-02-28,Negative
Mejor,Dalex,20,Colombia,2020-02-21,2020-02-28,Positive
Rojo,J Balvin,1,Colombia,2020-02-28,2020-03-06,Neutral
René,Residente,3,Colombia,2020-02-28,2020-03-06,Negative
La Difícil,Bad Bunny,4,Colombia,2020-02-28,2020-03-06,Negative
Si Veo a Tu Mamá,Bad Bunny,5,Colombia,2020-02-28,2020-03-06,Negative
La Santa,Bad Bunny,10,Colombia,2020-02-28,2020-03-06,Negative
Pero Ya No,Bad Bunny,14,Colombia,2020-02-28,2020-03-06,Negative
Yo Perreo Sola,Bad Bunny,18,Colombia,2020-02-28,2020-03-06,Negative
Safaera,Bad Bunny,19,Colombia,2020-02-28,2020-03-06,Negative
Soliá,Bad Bunny,20,Colombia,2020-02-28,2020-03-06,Negative
Diosa,Myke Towers,14,Colombia,2020-03-13,2020-03-20,Negative
Tattoo,Rauw Alejandro,15,Colombia,2020-03-13,2020-03-20,Negative
Por Primera Vez,Camilo,18,Colombia,2020-03-13,2020-03-20,Positive
