song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Spain,2020-01-31,2020-02-07,Negative
Morado,J Balvin,2,Spain,2020-01-31,2020-02-07,Negative
Me Gusta,Shakira,3,Spain,2020-01-31,2020-02-07,Negative
Alocao (With Bad Gyal),Omar Montes,4,Spain,2020-01-31,2020-02-07,Positive
Dance Monkey,Tones And I,5,Spain,2020-01-31,2020-02-07,Neutral
Se iluminaba,Fred De Palma,6,Spain,2020-01-31,2020-02-07,Negative
Hola - Remix,Dalex,7,Spain,2020-01-31,2020-02-07,Negative
+,Aitana,8,Spain,2020-01-31,2020-02-07,Negative
Indeciso,Reik,9,Spain,2020-01-31,2020-02-07,Negative
Blanco,J Balvin,10,Spain,2020-01-31,2020-02-07,Negative
Muévelo,Nicky Jam,11,Spain,2020-01-31,2020-02-07,Positive
Prendio (Remix),Rvfv,12,Spain,2020-01-31,2020-02-07,could not determine analysis
RITMO (Bad Boys For Life),Black Eyed Peas,13,Spain,2020-01-31,2020-02-07,Positive
Vete,Bad Bunny,14,Spain,2020-01-31,2020-02-07,Negative
Sigues Con El,Dímelo Flow,15,Spain,2020-01-31,2020-02-07,Negative
Zorra,Bad Gyal,16,Spain,2020-01-31,2020-02-07,Negative
Whine Up,Nicky Jam,17,Spain,2020-01-31,2020-02-07,Negative
Easy - Remix,Jhay Cortez,18,Spain,2020-01-31,2020-02-07,Positive
China,Anuel AA,19,Spain,2020-01-31,2020-02-07,Negative
Fuera De Mi Mente,Lérica,20,Spain,2020-01-31,2020-02-07,Negative
