song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
The Box,Roddy Ricch,1,South afrika,2020-02-21,2020-02-28,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
Dance Monkey,Tones And I,2,South afrika,2020-02-21,2020-02-28,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Blinding Lights,The Weeknd,3,South afrika,2020-02-21,2020-02-28,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Life Is Good (feat. Drake),Future,4,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Genius-russian-translations-future-life-is-good-ft-drake-lyrics
eMcimbini - Live,Kabza De Small,5,South afrika,2020-02-21,2020-02-28,could not determine analysis,
Intentions (feat. Quavo),Justin Bieber,6,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Don't Start Now,Dua Lipa,7,South afrika,2020-02-21,2020-02-28,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
After Hours,The Weeknd,8,South afrika,2020-02-21,2020-02-28,Negative,https://genius.com/The-weeknd-after-hours-lyrics
Circles,Post Malone,9,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Post-malone-circles-lyrics
everything i wanted,Billie Eilish,10,South afrika,2020-02-21,2020-02-28,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Falling,Trevor Daniel,11,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Godzilla (feat. Juice WRLD),Eminem,12,South afrika,2020-02-21,2020-02-28,Neutral,https://genius.com/Mcdicon-russian-cover-godzilla-eminem-feat-juice-wrld-lyrics
Memories,Maroon 5,13,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Maroon-5-memories-lyrics
Yummy,Justin Bieber,14,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Justin-bieber-yummy-lyrics
No Time To Die,Billie Eilish,15,South afrika,2020-02-21,2020-02-28,Negative,https://genius.com/Billie-eilish-no-time-to-die-lyrics
Someone You Loved,Lewis Capaldi,16,South afrika,2020-02-21,2020-02-28,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
