song_name,song_artist,track number,country,start date,end date,Analysis
Lettre à une femme,Ninho,1,France,2020-03-20,2020-03-27,Positive
Blinding Lights,The Weeknd,2,France,2020-03-20,2020-03-27,Negative
6.3,Naps,3,France,2020-03-20,2020-03-27,Positive
The Box,Roddy Ricch,4,France,2020-03-20,2020-03-27,Negative
Ne reviens pas,Gradur,5,France,2020-03-20,2020-03-27,could not determine analysis
Meleğim,Soolking,6,France,2020-03-20,2020-03-27,Positive
Zipette,Ninho,7,France,2020-03-20,2020-03-27,Positive
Promo (feat. Damso),Ninho,8,France,2020-03-20,2020-03-27,Negative
MD (feat. Niska),4Keus,9,France,2020-03-20,2020-03-27,Negative
Tusa,KAROL G,10,France,2020-03-20,2020-03-27,Negative
Distant,Maes,11,France,2020-03-20,2020-03-27,could not determine analysis
Dance Monkey,Tones And I,12,France,2020-03-20,2020-03-27,Neutral
Blanche,Maes,13,France,2020-03-20,2020-03-27,Negative
Moulaga,Heuss L'enfoiré,14,France,2020-03-20,2020-03-27,Negative
93% [Tijuana],GLK,15,France,2020-03-20,2020-03-27,Negative
Don't Start Now,Dua Lipa,16,France,2020-03-20,2020-03-27,Negative
Roses - Imanbek Remix,SAINt JHN,17,France,2020-03-20,2020-03-27,Negative
Dans l'espace (feat. Heuss l'Enfoiré),Gambi,18,France,2020-03-20,2020-03-27,Positive
40%,Aya Nakamura,19,France,2020-03-20,2020-03-27,Negative
La puerta,Ninho,20,France,2020-03-20,2020-03-27,Negative
Sousou,Jul,3,France,2020-03-27,2020-04-03,Positive
Prison pour mineurs,Hatik,7,France,2020-03-27,2020-04-03,Negative
Pirate,Ninho,16,France,2020-03-27,2020-04-03,Negative
Ca ira mieux demain,Koba LaD,17,France,2020-03-27,2020-04-03,Negative
death bed (coffee for your head) (feat. beabadoobee),Powfu,20,France,2020-03-27,2020-04-03,Positive
Crois-moi (feat. Ninho),DA Uzi,4,France,2020-04-03,2020-04-10,could not determine analysis
Toosie Slide,Drake,12,France,2020-04-03,2020-04-10,Positive
Falling,Trevor Daniel,18,France,2020-04-03,2020-04-10,Positive
ily (i love you baby) (feat. Emilee),Surf Mesa,17,France,2020-04-10,2020-04-17,Positive
Ride It,Regard,19,France,2020-04-10,2020-04-17,Negative
