Start Date,End Date,New cases,New Deaths,Total Cases
2020-01-31,2020-02-06,11,0,25
2020-02-07,2020-02-13,8,0,33
2020-02-14,2020-02-20,2,0,35
2020-02-21,2020-02-27,5,0,40
2020-02-28,2020-03-05,3,1,43
2020-03-06,2020-03-12,12,0,59
2020-03-13,2020-03-19,142,0,212
2020-03-20,2020-03-26,662,3,934
2020-03-27,2020-04-02,726,8,1771
2020-04-03,2020-04-09,391,11,2369
2020-04-10,2020-04-16,220,11,2643
2020-04-17,2020-04-23,154,3,2826
2020-04-24,2020-04-30,108,4,2947
