song_name,song_artist,track number,country,start date,end date,Analysis
Kein Wort,Juju,1,Germany,2020-01-24,2020-01-31,Positive
Donuts,Gzuz,2,Germany,2020-01-24,2020-01-31,Negative
Zu Ende,Samra,3,Germany,2020-01-24,2020-01-31,Negative
Blinding Lights,The Weeknd,4,Germany,2020-01-24,2020-01-31,Negative
Kommunikation,Eno,5,Germany,2020-01-24,2020-01-31,Negative
Roller,Apache 207,6,Germany,2020-01-24,2020-01-31,Negative
6AM.........,Dardan,7,Germany,2020-01-24,2020-01-31,Negative
Dance Monkey,Tones And I,8,Germany,2020-01-24,2020-01-31,Neutral
What If I Told You That I Love You,Ali Gatie,9,Germany,2020-01-24,2020-01-31,Positive
Big Drip,Ufo361,10,Germany,2020-01-24,2020-01-31,could not determine analysis
Godzilla (feat. Juice WRLD),Eminem,11,Germany,2020-01-24,2020-01-31,Neutral
Ich hol dich ab,Jamule,12,Germany,2020-01-24,2020-01-31,Negative
The Box,Roddy Ricch,13,Germany,2020-01-24,2020-01-31,Negative
Skifahren (feat. Joshi Mizu),The Cratez,14,Germany,2020-01-24,2020-01-31,Negative
Breaking Me,Topic,15,Germany,2020-01-24,2020-01-31,Positive
Alien,RIN,16,Germany,2020-01-24,2020-01-31,Negative
Falling,Trevor Daniel,17,Germany,2020-01-24,2020-01-31,Positive
Life Is Good (feat. Drake),Future,18,Germany,2020-01-24,2020-01-31,Positive
200 km/h,Apache 207,19,Germany,2020-01-24,2020-01-31,Negative
GENKIDAMA,Farid Bang,20,Germany,2020-01-24,2020-01-31,Negative
