song_name,song_artist,track number,country,start date,end date,Analysis
Blinding Lights,The Weeknd,1,France,2020-04-17,2020-04-24,Negative
Lettre à une femme,Ninho,2,France,2020-04-17,2020-04-24,Positive
Roses - Imanbek Remix,SAINt JHN,3,France,2020-04-17,2020-04-24,Negative
6.3,Naps,4,France,2020-04-17,2020-04-24,Positive
Je vous déteste tous,Lorenzo,5,France,2020-04-17,2020-04-24,Positive
The Box,Roddy Ricch,6,France,2020-04-17,2020-04-24,Negative
Toosie Slide,Drake,7,France,2020-04-17,2020-04-24,Positive
MD (feat. Niska),4Keus,8,France,2020-04-17,2020-04-24,Negative
Prison pour mineurs,Hatik,9,France,2020-04-17,2020-04-24,Negative
ily (i love you baby) (feat. Emilee),Surf Mesa,10,France,2020-04-17,2020-04-24,Positive
Ne reviens pas,Gradur,11,France,2020-04-17,2020-04-24,could not determine analysis
Meleğim,Soolking,12,France,2020-04-17,2020-04-24,Positive
Sousou,Jul,13,France,2020-04-17,2020-04-24,Positive
Blanche,Maes,14,France,2020-04-17,2020-04-24,Negative
Tusa,KAROL G,15,France,2020-04-17,2020-04-24,Negative
Distant,Maes,16,France,2020-04-17,2020-04-24,could not determine analysis
Angela,Hatik,17,France,2020-04-17,2020-04-24,could not determine analysis
Crois-moi (feat. Ninho),DA Uzi,18,France,2020-04-17,2020-04-24,could not determine analysis
Train de vie (feat. PLK),Leto,19,France,2020-04-17,2020-04-24,Positive
death bed (coffee for your head) (feat. beabadoobee),Powfu,20,France,2020-04-17,2020-04-24,Positive
THE SCOTTS,THE SCOTTS,1,France,2020-04-24,2020-05-01,Positive
SICKO MODE,Travis Scott,4,France,2020-04-24,2020-05-01,Positive
goosebumps,Travis Scott,10,France,2020-04-24,2020-05-01,Positive
HIGHEST IN THE ROOM,Travis Scott,20,France,2020-04-24,2020-05-01,could not determine analysis
Zipette,Ninho,14,France,2020-05-01,2020-05-08,Positive
Bro Bro,Zola,1,France,2020-05-08,2020-05-15,Negative
JAUNÉ,Booba,4,France,2020-05-08,2020-05-15,Negative
GOOBA,6ix9ine,6,France,2020-05-08,2020-05-15,Negative
