song_name,song_artist,track number,country,start date,end date,Analysis
RITMO (Bad Boys For Life),Black Eyed Peas,1,Argentina,2019-12-06,2019-12-13,Positive
Fantasias,Rauw Alejandro,2,Argentina,2019-12-06,2019-12-13,Negative
Hola - Remix,Dalex,3,Argentina,2019-12-06,2019-12-13,Negative
Tusa,KAROL G,4,Argentina,2019-12-06,2019-12-13,Negative
Que Tire Pa Lante,Daddy Yankee,5,Argentina,2019-12-06,2019-12-13,Negative
China,Anuel AA,6,Argentina,2019-12-06,2019-12-13,Negative
Fresa,TINI,7,Argentina,2019-12-06,2019-12-13,Negative
Vete,Bad Bunny,8,Argentina,2019-12-06,2019-12-13,Negative
Adicto (with Anuel AA &amp; Ozuna),Tainy,9,Argentina,2019-12-06,2019-12-13,could not determine analysis
Goteo,Duki,10,Argentina,2019-12-06,2019-12-13,Negative
Bellaquita - Remix,Dalex,11,Argentina,2019-12-06,2019-12-13,Negative
Quizas,Rich Music LTD,12,Argentina,2019-12-06,2019-12-13,Positive
Tutu,Camilo,13,Argentina,2019-12-06,2019-12-13,Negative
Si Te Vas,Sech,14,Argentina,2019-12-06,2019-12-13,Positive
Dance Monkey,Tones And I,15,Argentina,2019-12-06,2019-12-13,Neutral
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,16,Argentina,2019-12-06,2019-12-13,Negative
No Me Conoce - Remix,Jhay Cortez,17,Argentina,2019-12-06,2019-12-13,Negative
Aventura,Lunay,18,Argentina,2019-12-06,2019-12-13,Negative
LA CANCIÓN,J Balvin,19,Argentina,2019-12-06,2019-12-13,Negative
"John C: Bzrp Music Sessions, Vol. 18",Bizarrap,20,Argentina,2019-12-06,2019-12-13,Negative
