song_name,song_artist,track number,country,start date,end date,Analysis
Pretender,Official HIGE DANdism,1,Japan,2020-02-21,2020-02-28,Neutral
Hakujitsu,King Gnu,2,Japan,2020-02-21,2020-02-28,Neutral
I LOVE...,Official HIGE DANdism,3,Japan,2020-02-21,2020-02-28,Positive
宿命,Official HIGE DANdism,4,Japan,2020-02-21,2020-02-28,Neutral
イエスタデイ,Official HIGE DANdism,5,Japan,2020-02-21,2020-02-28,could not determine analysis
ノーダウト,Official HIGE DANdism,6,Japan,2020-02-21,2020-02-28,could not determine analysis
115万キロのフィルム,Official HIGE DANdism,7,Japan,2020-02-21,2020-02-28,could not determine analysis
Gurenge,LiSA,8,Japan,2020-02-21,2020-02-28,Negative
Machigaisagashi,Masaki Suda,9,Japan,2020-02-21,2020-02-28,Neutral
Doron,King Gnu,10,Japan,2020-02-21,2020-02-28,Neutral
Teenager Forever,King Gnu,11,Japan,2020-02-21,2020-02-28,Neutral
Hikoutei,King Gnu,12,Japan,2020-02-21,2020-02-28,Neutral
マリーゴールド,Aimyon,13,Japan,2020-02-21,2020-02-28,could not determine analysis
bad guy,Billie Eilish,14,Japan,2020-02-21,2020-02-28,Negative
Stand By You,Official HIGE DANdism,15,Japan,2020-02-21,2020-02-28,Positive
Umbrella,King Gnu,16,Japan,2020-02-21,2020-02-28,Neutral
Sayonara Elegy,Masaki Suda,17,Japan,2020-02-21,2020-02-28,could not determine analysis
高嶺の花子さん,back number,18,Japan,2020-02-21,2020-02-28,Neutral
インフェルノ,Mrs. GREEN APPLE,19,Japan,2020-02-21,2020-02-28,Neutral
ただ君に晴れ,ヨルシカ,20,Japan,2020-02-21,2020-02-28,could not determine analysis
Walking with you,Novelbright,20,Japan,2020-03-13,2020-03-20,could not determine analysis
